Hypotheses & Specific Predictions,Overall,1966,1977,1999,Results
Rt decreases with stem diameter (DBH).,yes,yes,-,-,Table 4
Rt decreases with height (H).,yes,yes,-,(yes),"Tables 4, 5"
Dominant trees have lowest Rt.,-,yes,(yes),-,"Tables 4, 5"
"Correcting for H, dominant trees have lowest Rt.",-,-,-,-,"Tables 4, 5"
There is a negative interactive effect between H and topographic wetness index.,-,-,-,-,Table 4
Wood density correlates (positively or negatively) to Rt.,-,-,-,-,Table 4
Leaf mass per area correlates positively to Rt.,-,-,-,-,Table 4
Ring-porous species have higher Rt than diffuse- or semi-ring- porous.,-,yes,(no),yes,"Tables 4, 5"
Percent loss leaf area upon desiccation correlates negatively with Rt.,yes,yes,(yes),-,"Tables 4, 5"
Water potential at turgor loss correlates negatively with Rt.,(yes),-,(yes),(yes),"Tables 4, 5"
